Number of Work Groups, Matrix Size, Work Elements, Giga Mults/Sec
128 , 128 , 1   , 26.80
64  , 128 , 2   , 38.48
32  , 128 , 4   , 42.31
16  , 128 , 8   , 43.25
8   , 128 , 16  , 43.24
256 , 256 , 1   , 106.63
128 , 256 , 2   , 219.75
64  , 256 , 4   , 305.84
32  , 256 , 8   , 345.85
16  , 256 , 16  , 338.72
512 , 512 , 1   , 275.43
256 , 512 , 2   , 850.87
128 , 512 , 4   , 1801.37
64  , 512 , 8   , 2447.65
32  , 512 , 16  , 2501.74
1024, 1024, 1   , 546.89
512 , 1024, 2   , 1639.30
256 , 1024, 4   , 3301.07
128 , 1024, 8   , 4388.19
64  , 1024, 16  , 4629.78
2048, 2048, 1   , 1189.92
1024, 2048, 2   , 4343.32
512 , 2048, 4   , 12980.97
256 , 2048, 8   , 25377.70
128 , 2048, 16  , 28062.80
4096, 4096, 1   , 2435.43
2048, 4096, 2   , 9492.39
1024, 4096, 4   , 33678.40
512 , 4096, 8   , 99991.57
256 , 4096, 16  , 106359.91
